date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:44:43	45003/45003	---M-Z	200	added ('OK')	text/html	etag:W/%2268602992-afcb%22	https://antivirussoftwareguide.github.io/Norton/reviews/norton.html	D:/track/https___antivirussoftwareguide.github.io_Norton_reviews_norton.html/antivirussoftwareguide.github.io/Norton/reviews/norton.html	(from )
13:44:44	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22685c5e71-239b%22	https://antivirussoftwareguide.github.io/robots.txt		(from )
13:44:44	323/323	---M--	200	added ('OK')	image/png	etag:%2268602992-143%22	https://antivirussoftwareguide.github.io/Norton/assets/img/icon/cross.png	D:/track/https___antivirussoftwareguide.github.io_Norton_reviews_norton.html/antivirussoftwareguide.github.io/Norton/assets/img/icon/cross.png	(from https://antivirussoftwareguide.github.io/Norton/reviews/norton.html)
13:44:44	2354/2354	---M--	200	added ('OK')	image/png	etag:%2268602992-932%22	https://antivirussoftwareguide.github.io/Norton/assets/img/favicon/apple-icon-57x57.png	D:/track/https___antivirussoftwareguide.github.io_Norton_reviews_norton.html/antivirussoftwareguide.github.io/Norton/assets/img/favicon/apple-icon-57x57.png	(from https://antivirussoftwareguide.github.io/Norton/reviews/norton.html)
13:44:45	2429/2429	---M--	200	added ('OK')	image/png	etag:%2268602992-97d%22	https://antivirussoftwareguide.github.io/Norton/assets/img/favicon/apple-icon-60x60.png	D:/track/https___antivirussoftwareguide.github.io_Norton_reviews_norton.html/antivirussoftwareguide.github.io/Norton/assets/img/favicon/apple-icon-60x60.png	(from https://antivirussoftwareguide.github.io/Norton/reviews/norton.html)
13:44:45	3225/3225	---M--	200	added ('OK')	image/png	etag:%2268602992-c99%22	https://antivirussoftwareguide.github.io/Norton/assets/img/favicon/apple-icon-72x72.png	D:/track/https___antivirussoftwareguide.github.io_Norton_reviews_norton.html/antivirussoftwareguide.github.io/Norton/assets/img/favicon/apple-icon-72x72.png	(from https://antivirussoftwareguide.github.io/Norton/reviews/norton.html)
13:44:45	3716/3716	---M--	200	added ('OK')	image/png	etag:%2268602992-e84%22	https://antivirussoftwareguide.github.io/Norton/assets/img/favicon/apple-icon-76x76.png	D:/track/https___antivirussoftwareguide.github.io_Norton_reviews_norton.html/antivirussoftwareguide.github.io/Norton/assets/img/favicon/apple-icon-76x76.png	(from https://antivirussoftwareguide.github.io/Norton/reviews/norton.html)
13:44:46	6678/6678	---M--	200	added ('OK')	image/png	etag:%2268602992-1a16%22	https://antivirussoftwareguide.github.io/Norton/assets/img/favicon/apple-icon-114x114.png	D:/track/https___antivirussoftwareguide.github.io_Norton_reviews_norton.html/antivirussoftwareguide.github.io/Norton/assets/img/favicon/apple-icon-114x114.png	(from https://antivirussoftwareguide.github.io/Norton/reviews/norton.html)
13:44:46	6237/6237	---M--	200	added ('OK')	image/png	etag:%2268602992-185d%22	https://antivirussoftwareguide.github.io/Norton/assets/img/favicon/apple-icon-120x120.png	D:/track/https___antivirussoftwareguide.github.io_Norton_reviews_norton.html/antivirussoftwareguide.github.io/Norton/assets/img/favicon/apple-icon-120x120.png	(from https://antivirussoftwareguide.github.io/Norton/reviews/norton.html)
13:44:46	8597/8597	---M--	200	added ('OK')	image/png	etag:%2268602992-2195%22	https://antivirussoftwareguide.github.io/Norton/assets/img/favicon/apple-icon-144x144.png	D:/track/https___antivirussoftwareguide.github.io_Norton_reviews_norton.html/antivirussoftwareguide.github.io/Norton/assets/img/favicon/apple-icon-144x144.png	(from https://antivirussoftwareguide.github.io/Norton/reviews/norton.html)
